Image,Mask
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/0_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/0_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/1_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/1_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/2_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/2_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/3_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/3_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/4_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/4_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/5_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/5_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/6_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/6_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/7_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/7_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/8_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/8_10.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_1.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_1.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_2.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_2.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_3.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_3.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_4.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_4.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_5.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_5.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_6.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_6.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_7.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_7.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_8.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_8.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_9.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_9.npy
/root/workplace/data/MM-WHS2017/trainstage/augtrain/Image/9_10.npy,/root/workplace/data/MM-WHS2017/trainstage/augtrain/Mask/9_10.npy
