Image,Mask
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/0.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/0.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/1.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/1.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/2.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/2.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/3.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/3.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/4.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/4.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/5.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/5.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/6.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/6.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/7.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/7.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/8.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/8.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/9.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/9.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/10.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/10.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/11.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/11.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/12.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/12.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/13.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/13.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/14.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/14.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/15.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/15.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/16.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/16.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/17.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/17.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/18.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/18.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/19.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/19.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/20.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/20.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/21.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/21.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/22.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/22.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/23.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/23.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/24.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/24.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/25.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/25.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/26.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/26.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/27.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/27.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/28.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/28.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/29.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/29.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/30.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/30.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/31.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/31.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/32.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/32.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/33.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/33.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/34.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/34.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/35.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/35.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/36.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/36.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/37.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/37.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/38.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/38.npy
/root/workplace/data/MM-WHS2017/trainstage/validation/Image/39.npy,/root/workplace/data/MM-WHS2017/trainstage/validation/Mask/39.npy
